condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
A_COMPLEMENT_NB,3,1,1,sign,textual,0.4869960408405145,5.8188449628137375,2.833754459155061,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,2,hard,textual,0.3860090587410961,5.693203361976593,2.1976280709782285,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,3,number,textual,0.3605537792555052,5.402054970938311,1.9477313355177963,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,4,things,textual,0.23270930021953093,5.441801091518384,1.2663577239411228,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,5,trying,textual,0.19896885839241238,5.740548724950132,1.1421904263493463,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,6,signs adhd,textual,0.19300452937054804,5.71146717382468,1.1023390338993664,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,7,dopamine,textual,0.1802768896277526,5.498328547210142,0.9912215686425241,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,8,signs,textual,0.173769315692715,5.67136955608269,0.985510006800986,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,9,brain,textual,0.13455342802395895,5.326745847190412,0.7167319139518573,input_times_complement_log_weight
A_COMPLEMENT_NB,3,1,10,poor,textual,0.11860960640475962,5.801037664864733,0.6880587941687918,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,1,day,textual,0.31736154137906736,5.7196881730609315,1.815209054810239,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,2,sleep,textual,0.2912753367807061,5.587836753630011,1.627599032289189,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,3,person,textual,0.2839599143196795,5.660810094930354,1.6074431495363999,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,4,adhd,textual,0.3360823292755806,4.703952334337238,1.5809152573253638,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,5,people adhd,textual,0.262047815352305,5.6137771244365835,1.4710780313333514,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,6,focus,textual,0.24659980932693035,5.550382030469859,1.3687231504054875,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,7,feel,textual,0.24196212956619378,5.538907465936868,1.3402058459281745,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,8,brain,textual,0.21461691875068548,5.453082761424331,1.1703238199493693,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,9,late,textual,0.184656238578707,5.785686958625622,1.0683631913736864,input_times_complement_log_weight
A_COMPLEMENT_NB,4,3,10,called,textual,0.18052086714792745,5.848011958355268,1.0556881898137422,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,1,late,textual,0.3767094550925215,5.7563834678621095,2.1684840794819347,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,2,just,textual,0.3615276487563071,5.434499801226157,1.964721935303911,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,3,signs,textual,0.2827188852816616,5.67136955608269,1.6034032789160504,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,4,things,textual,0.2839597156025667,5.441801091518384,1.5452522903132975,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,5,actually,textual,0.2644858274789773,5.614715118763148,1.4850125742447955,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,6,sign,textual,0.19808298325592266,5.8188449628137375,1.1526141693378436,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,7,time,textual,0.2059686333369193,5.440628971287014,1.1205989137092354,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,8,try,textual,0.18025616163854802,5.705353215548549,1.028425071426929,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,9,wait,textual,0.17666350302152597,5.740632781084072,1.014160296666517,input_times_complement_log_weight
A_COMPLEMENT_NB,7,1,10,tell,textual,0.17666350302152597,5.69948838019888,1.006891582676417,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,1,medication,textual,0.39174886508891277,5.555410130488086,2.1763256137221565,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,2,diagnosed,textual,0.28462536707215025,5.657739717848372,1.6103362439912767,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,3,don,textual,0.2942456621828816,5.423596851266143,1.595869846913798,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,4,going,textual,0.2787745825175465,5.560375619466058,1.5500913919573942,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,5,want,textual,0.2554351466057877,5.5577421141851415,1.419642671734042,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,6,recommend,textual,0.1926633809523675,5.763097922436732,1.1103379304962258,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,7,drugs,textual,0.18726524545881984,5.7435394911723945,1.0755653326168237,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,8,actually,textual,0.1875312656434946,5.614715118763148,1.0529346324493172,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,9,know,textual,0.19052123305485816,5.518370863208622,1.0513668213125087,input_times_complement_log_weight
A_COMPLEMENT_NB,16,1,10,ve,textual,0.18009193124943149,5.581302618005356,1.0051475673640926,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,1,rejection,textual,0.4378853885602775,5.66656771169246,2.4813072042375754,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,2,time,textual,0.3265354453651646,5.440628971287014,1.7765582042058223,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,3,sensitive,textual,0.298610977067293,5.698181553449657,1.7015395611824276,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,4,task,textual,0.24533815222322577,5.671377113127575,1.391405181495812,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,5,symptoms adhd,textual,0.22680329502094645,5.661742701418871,1.2841019002425944,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,6,number,textual,0.23249896995235855,5.402054970938311,1.2559722163691756,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,7,adhd,textual,0.19410174102909908,4.90213981291112,0.9515138724541103,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,8,highly,textual,0.15701690618815994,5.768914792998,0.9058171528596551,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,9,eating,textual,0.15296808910173265,5.759757831863883,0.8810591492289569,input_times_complement_log_weight
A_COMPLEMENT_NB,24,1,10,symptoms,textual,0.1586083300602885,5.4713529347435035,0.8678021521501257,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,1,child,textual,0.5426827433549285,5.583001786810165,3.029798725821608,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,2,isn,textual,0.2822104477248207,5.738440899549665,1.6194479755043336,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,3,adhd,textual,0.3066924881317188,4.90213981291112,1.5034494563912697,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,4,parents,textual,0.19219038688744902,5.794164601755403,1.113582736500933,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,5,control,textual,0.18089952559695385,5.737111044663386,1.0378406662766508,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,6,especially,textual,0.16634307367761758,5.727349067999958,0.9527048479957514,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,7,brain,textual,0.17136789765204719,5.326745847190412,0.9128332371597939,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,8,actually,textual,0.1380270224167284,5.614715118763148,0.7749824095610649,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,9,attention,textual,0.1380270224167284,5.582772771584161,0.770573502490948,input_times_complement_log_weight
A_COMPLEMENT_NB,26,1,10,behaviors,textual,0.10337341940339266,5.816659718355212,0.6012880045923532,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,1,everybody,textual,0.44154968328794414,5.7171188672532915,2.5243920251552208,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,2,disorder,textual,0.36591928160801246,5.654218981918867,2.0689877479181393,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,3,symptoms,textual,0.31987117969481904,5.4713529347435035,1.7501281177631147,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,4,maybe,textual,0.2943664555252961,5.793259447960992,1.705341249634711,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,5,makes,textual,0.2943664555252961,5.787012768981833,1.7035024368848113,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,6,problem,textual,0.267372830514845,5.6504096044716965,1.5107660095158633,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,7,things,textual,0.22697347356732914,5.441801091518384,1.2351444962044107,input_times_complement_log_weight
A_COMPLEMENT_NB,43,1,8,adhd real,textual,0.15833084868665598,5.764649649321224,0.9127218713582631,input_times_complement_log_weight
