condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
D_FROZEN_MINILM,1,1,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.7288827896118164,0.7288827896118164,negative,1,,1
D_FROZEN_MINILM,1,1,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.23478470742702484,0.23478470742702484,positive,2,1,
D_FROZEN_MINILM,1,1,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.19143995642662048,0.19143995642662048,positive,3,2,
D_FROZEN_MINILM,1,1,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.14562560617923737,0.14562560617923737,negative,4,,2
D_FROZEN_MINILM,1,1,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.021038604900240898,0.021038604900240898,negative,5,,3
D_FROZEN_MINILM,1,1,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.002877582563087344,0.002877582563087344,positive,6,3,
D_FROZEN_MINILM,1,2,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.5638172626495361,0.5638172626495361,positive,1,1,
D_FROZEN_MINILM,1,2,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.5535939931869507,0.5535939931869507,positive,2,2,
D_FROZEN_MINILM,1,2,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.29159101843833923,0.29159101843833923,negative,3,,1
D_FROZEN_MINILM,1,2,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.07939896732568741,0.07939896732568741,negative,4,,2
D_FROZEN_MINILM,1,2,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.07774914801120758,0.07774914801120758,positive,5,3,
D_FROZEN_MINILM,1,2,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.031761977821588516,0.031761977821588516,negative,6,,3
D_FROZEN_MINILM,1,3,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.4220152199268341,0.4220152199268341,positive,1,1,
D_FROZEN_MINILM,1,3,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.19517120718955994,0.19517120718955994,negative,2,,1
D_FROZEN_MINILM,1,3,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.18027006089687347,0.18027006089687347,negative,3,,2
D_FROZEN_MINILM,1,3,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.05425543710589409,0.05425543710589409,positive,4,2,
D_FROZEN_MINILM,1,3,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.03756820037961006,0.03756820037961006,positive,5,3,
D_FROZEN_MINILM,1,3,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.00010877175373025239,0.00010877175373025239,positive,6,4,
D_FROZEN_MINILM,1,4,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.3864271640777588,0.3864271640777588,negative,1,,1
D_FROZEN_MINILM,1,4,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.2467263787984848,0.2467263787984848,negative,2,,2
D_FROZEN_MINILM,1,4,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.1398204267024994,0.1398204267024994,positive,3,1,
D_FROZEN_MINILM,1,4,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.11736322194337845,0.11736322194337845,negative,4,,3
D_FROZEN_MINILM,1,4,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.10032910108566284,0.10032910108566284,positive,5,2,
D_FROZEN_MINILM,1,4,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.04589772969484329,0.04589772969484329,positive,6,3,
D_FROZEN_MINILM,2,1,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.7230335474014282,0.7230335474014282,positive,1,1,
D_FROZEN_MINILM,2,1,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.3756486475467682,0.3756486475467682,negative,2,,1
D_FROZEN_MINILM,2,1,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.26623114943504333,0.26623114943504333,positive,3,2,
D_FROZEN_MINILM,2,1,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.22758764028549194,0.22758764028549194,negative,4,,2
D_FROZEN_MINILM,2,1,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.05981512367725372,0.05981512367725372,positive,5,3,
D_FROZEN_MINILM,2,1,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.04439731687307358,0.04439731687307358,negative,6,,3
D_FROZEN_MINILM,2,2,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-1.4287760257720947,1.4287760257720947,negative,1,,1
D_FROZEN_MINILM,2,2,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.9885379076004028,0.9885379076004028,positive,2,1,
D_FROZEN_MINILM,2,2,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.8270000219345093,0.8270000219345093,positive,3,2,
D_FROZEN_MINILM,2,2,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.8000922799110413,0.8000922799110413,positive,4,3,
D_FROZEN_MINILM,2,2,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.16763515770435333,0.16763515770435333,negative,5,,2
D_FROZEN_MINILM,2,2,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.01156753022223711,0.01156753022223711,negative,6,,3
D_FROZEN_MINILM,2,3,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.9403319358825684,0.9403319358825684,negative,1,,1
D_FROZEN_MINILM,2,3,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.8380661606788635,0.8380661606788635,positive,2,1,
D_FROZEN_MINILM,2,3,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.5868387222290039,0.5868387222290039,negative,3,,2
D_FROZEN_MINILM,2,3,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.3822654187679291,0.3822654187679291,positive,4,2,
D_FROZEN_MINILM,2,3,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.05380119010806084,0.05380119010806084,positive,5,3,
D_FROZEN_MINILM,2,3,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.04254261776804924,0.04254261776804924,negative,6,,3
D_FROZEN_MINILM,2,4,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-1.8864198923110962,1.8864198923110962,negative,1,,1
D_FROZEN_MINILM,2,4,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,1.274099349975586,1.274099349975586,positive,2,1,
