condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
C_COMPLEMENT_NB,3,1,1,sign,textual,0.4869960408405145,6.625014169767781,3.226355671189218,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,2,hard,textual,0.3860090587410961,5.948121997732205,2.2960289736218167,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,3,likes,engagement_or_format,0.6514342978851981,2.85406613245576,1.859236567114241,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,4,number,textual,0.3605537792555052,5.069427537894024,1.827801257449621,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,5,views,engagement_or_format,0.6123993397388946,2.8726595448231795,1.7592148085443486,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,6,comments,engagement_or_format,0.4999455120656318,3.16400999409314,1.5818325966776714,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,7,duration_sec,engagement_or_format,0.46818204740962943,3.0445171482894646,1.425388271859888,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,8,trying,textual,0.19896885839241238,6.162079138066962,1.2260618514248838,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,9,things,textual,0.23270930021953093,5.16395244297363,1.2016997593713308,input_times_complement_log_weight
C_COMPLEMENT_NB,3,1,10,signs adhd,textual,0.19300452937054804,6.026500617022532,1.1631419153397513,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,1,comments,engagement_or_format,0.8149742945118097,3.331887663665282,2.715402798088215,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,2,likes,engagement_or_format,0.8232604255951058,2.930352123130473,2.412442936031915,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,3,views,engagement_or_format,0.7808267768566148,2.9123089336224335,2.27400879785113,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,4,day,textual,0.31736154137906736,6.051816176222178,1.920613709828644,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,5,hedge_score,handcrafted_linguistic,0.45665958523750305,3.6306210562732106,1.6579579057122695,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,6,person,textual,0.2839599143196795,5.8286262838066865,1.6550962201511785,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,7,sleep,textual,0.2912753367807061,5.593679535077771,1.6293008904231214,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,8,people adhd,textual,0.262047815352305,5.672927003591112,1.4865781279441486,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,9,focus,textual,0.24659980932693035,5.486123321397501,1.3528769650006496,input_times_complement_log_weight
C_COMPLEMENT_NB,4,3,10,adhd,textual,0.3360823292755806,3.94006959400815,1.3241877666621504,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,1,comments,engagement_or_format,1.0,3.16400999409314,3.16400999409314,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,2,views,engagement_or_format,1.0,2.8726595448231795,2.8726595448231795,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,3,likes,engagement_or_format,1.0,2.85406613245576,2.85406613245576,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,4,late,textual,0.3767094550925215,6.242532906763246,2.351621169703917,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,5,just,textual,0.3615276487563071,5.14619404464982,1.8604914330059596,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,6,signs,textual,0.2827188852816616,5.860159811247985,1.6567778494084227,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,7,actually,textual,0.2644858274789773,5.655371626421666,1.495765644315264,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,8,hedge_score,handcrafted_linguistic,0.38314855098724365,3.843152498173272,1.4724983108980947,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,9,things,textual,0.2839597156025667,5.16395244297363,1.4663544670919717,input_times_complement_log_weight
C_COMPLEMENT_NB,7,1,10,duration_sec,engagement_or_format,0.46818204740962943,3.0445171482894646,1.425388271859888,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,1,duration_sec,engagement_or_format,0.8957858757320463,3.0400655333920032,2.723247766112366,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,2,medication,textual,0.39174886508891277,5.53355109389209,2.1677623609437378,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,3,certainty_score,handcrafted_linguistic,0.5072548985481262,3.502469679635906,1.7766449020115995,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,4,diagnosed,textual,0.28462536707215025,5.783415788067344,1.6461068416095368,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,5,don,textual,0.2942456621828816,5.349197448471333,1.5739781453724282,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,6,going,textual,0.2787745825175465,5.440486452110992,1.5166693393796096,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,7,want,textual,0.2554351466057877,5.8293533128274575,1.4890217180790157,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,8,likes,engagement_or_format,0.47100079755772184,2.8457773391664674,1.3403633964190975,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,9,recommend,textual,0.1926633809523675,6.3940074384862475,1.2318910909333476,input_times_complement_log_weight
C_COMPLEMENT_NB,16,2,10,drugs,textual,0.18726524545881984,6.246950075659364,1.169836639287344,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,1,rejection,textual,0.4378853885602775,6.334914890834444,2.773966668469328,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,2,comments,engagement_or_format,0.7591949652356774,3.331887663665282,2.529552338985546,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,3,likes,engagement_or_format,0.8520331891422013,2.930352123130473,2.496757264780477,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,4,views,engagement_or_format,0.8308425736664269,2.9123089336224335,2.4196702497225897,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,5,sensitive,textual,0.298610977067293,6.348499224039489,1.8957315562013832,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,6,time,textual,0.3265354453651646,5.118728130275589,1.6714461697227359,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,7,hedge_score,handcrafted_linguistic,0.437753289937973,3.6306210562732106,1.5893163119016767,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,8,task,textual,0.24533815222322577,5.918896066216771,1.4521310240869423,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,9,duration_sec,engagement_or_format,0.46818204740962943,3.020329639755835,1.4140641145928752,input_times_complement_log_weight
C_COMPLEMENT_NB,24,3,10,symptoms adhd,textual,0.22680329502094645,5.678266014968537,1.287849442200323,input_times_complement_log_weight
C_COMPLEMENT_NB,26,2,1,child,textual,0.5426827433549285,5.684881191952719,3.0850869208957374,input_times_complement_log_weight
C_COMPLEMENT_NB,26,2,2,duration_sec,engagement_or_format,0.9130349839383316,3.0400655333920032,2.7756861854520434,input_times_complement_log_weight
C_COMPLEMENT_NB,26,2,3,isn,textual,0.2822104477248207,6.158634072164669,1.738030878878927,input_times_complement_log_weight
C_COMPLEMENT_NB,26,2,4,certainty_score,handcrafted_linguistic,0.444918692111969,3.502469679635906,1.5583142290254344,input_times_complement_log_weight
