condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
D_FROZEN_MINILM,1,1,388,views,engagement_or_format,auxiliary_coefficient,1.2988176345825195,1.2988176345825195,positive,1,1,6
D_FROZEN_MINILM,1,1,387,comments,engagement_or_format,auxiliary_coefficient,-0.9356948733329773,0.9356948733329773,negative,2,6,1
D_FROZEN_MINILM,1,1,386,likes,engagement_or_format,auxiliary_coefficient,-0.8294841051101685,0.8294841051101685,negative,3,5,2
D_FROZEN_MINILM,1,1,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.3008590340614319,0.3008590340614319,negative,4,4,3
D_FROZEN_MINILM,1,1,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.17835789918899536,0.17835789918899536,positive,5,2,5
D_FROZEN_MINILM,1,1,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.039632171392440796,0.039632171392440796,positive,6,3,4
D_FROZEN_MINILM,1,2,388,views,engagement_or_format,auxiliary_coefficient,1.0093908309936523,1.0093908309936523,positive,1,1,6
D_FROZEN_MINILM,1,2,386,likes,engagement_or_format,auxiliary_coefficient,-0.4226089119911194,0.4226089119911194,negative,2,6,1
D_FROZEN_MINILM,1,2,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.3797736167907715,0.3797736167907715,negative,3,5,2
D_FROZEN_MINILM,1,2,389,duration_sec,engagement_or_format,auxiliary_coefficient,0.3726694583892822,0.3726694583892822,positive,4,2,5
D_FROZEN_MINILM,1,2,387,comments,engagement_or_format,auxiliary_coefficient,-0.3697826862335205,0.3697826862335205,negative,5,4,3
D_FROZEN_MINILM,1,2,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.19409814476966858,0.19409814476966858,positive,6,3,4
D_FROZEN_MINILM,1,3,386,likes,engagement_or_format,auxiliary_coefficient,0.5305847525596619,0.5305847525596619,positive,1,1,6
D_FROZEN_MINILM,1,3,388,views,engagement_or_format,auxiliary_coefficient,-0.3934573531150818,0.3934573531150818,negative,2,6,1
D_FROZEN_MINILM,1,3,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.28726354241371155,0.28726354241371155,negative,3,5,2
D_FROZEN_MINILM,1,3,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.2496730536222458,0.2496730536222458,negative,4,4,3
D_FROZEN_MINILM,1,3,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.09091360121965408,0.09091360121965408,negative,5,3,4
D_FROZEN_MINILM,1,3,387,comments,engagement_or_format,auxiliary_coefficient,-0.06535644084215164,0.06535644084215164,negative,6,2,5
D_FROZEN_MINILM,1,4,388,views,engagement_or_format,auxiliary_coefficient,-1.9147530794143677,1.9147530794143677,negative,1,6,1
D_FROZEN_MINILM,1,4,387,comments,engagement_or_format,auxiliary_coefficient,1.3708322048187256,1.3708322048187256,positive,2,1,6
D_FROZEN_MINILM,1,4,386,likes,engagement_or_format,auxiliary_coefficient,0.7215088605880737,0.7215088605880737,positive,3,2,5
D_FROZEN_MINILM,1,4,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.5898125767707825,0.5898125767707825,positive,4,3,4
D_FROZEN_MINILM,1,4,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.08519041538238525,0.08519041538238525,negative,5,5,2
D_FROZEN_MINILM,1,4,389,duration_sec,engagement_or_format,auxiliary_coefficient,0.01910480298101902,0.01910480298101902,positive,6,4,3
D_FROZEN_MINILM,2,1,386,likes,engagement_or_format,auxiliary_coefficient,-0.5489048957824707,0.5489048957824707,negative,1,6,1
D_FROZEN_MINILM,2,1,388,views,engagement_or_format,auxiliary_coefficient,0.3762521743774414,0.3762521743774414,positive,2,1,6
D_FROZEN_MINILM,2,1,387,comments,engagement_or_format,auxiliary_coefficient,-0.2735329866409302,0.2735329866409302,negative,3,5,2
D_FROZEN_MINILM,2,1,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.1554114818572998,0.1554114818572998,positive,4,2,5
D_FROZEN_MINILM,2,1,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.13157285749912262,0.13157285749912262,negative,5,4,3
D_FROZEN_MINILM,2,1,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.06068729981780052,0.06068729981780052,positive,6,3,4
D_FROZEN_MINILM,2,2,386,likes,engagement_or_format,auxiliary_coefficient,-0.6553782820701599,0.6553782820701599,negative,1,6,1
D_FROZEN_MINILM,2,2,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.5458067059516907,0.5458067059516907,negative,2,5,2
D_FROZEN_MINILM,2,2,389,duration_sec,engagement_or_format,auxiliary_coefficient,0.4614303410053253,0.4614303410053253,positive,3,1,6
D_FROZEN_MINILM,2,2,388,views,engagement_or_format,auxiliary_coefficient,0.36265426874160767,0.36265426874160767,positive,4,2,5
D_FROZEN_MINILM,2,2,387,comments,engagement_or_format,auxiliary_coefficient,0.27100056409835815,0.27100056409835815,positive,5,3,4
D_FROZEN_MINILM,2,2,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.22164420783519745,0.22164420783519745,positive,6,4,3
D_FROZEN_MINILM,2,3,386,likes,engagement_or_format,auxiliary_coefficient,0.6279814839363098,0.6279814839363098,positive,1,1,6
D_FROZEN_MINILM,2,3,388,views,engagement_or_format,auxiliary_coefficient,-0.23342731595039368,0.23342731595039368,negative,2,6,1
D_FROZEN_MINILM,2,3,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.18192066252231598,0.18192066252231598,negative,3,5,2
D_FROZEN_MINILM,2,3,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.15783753991127014,0.15783753991127014,negative,4,4,3
D_FROZEN_MINILM,2,3,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.1398857980966568,0.1398857980966568,positive,5,2,5
D_FROZEN_MINILM,2,3,387,comments,engagement_or_format,auxiliary_coefficient,-0.10942012071609497,0.10942012071609497,negative,6,3,4
D_FROZEN_MINILM,2,4,386,likes,engagement_or_format,auxiliary_coefficient,0.5763019919395447,0.5763019919395447,positive,1,1,6
D_FROZEN_MINILM,2,4,388,views,engagement_or_format,auxiliary_coefficient,-0.5054789781570435,0.5054789781570435,negative,2,6,1
D_FROZEN_MINILM,2,4,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.3452335596084595,0.3452335596084595,positive,3,2,5
D_FROZEN_MINILM,2,4,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.21921825408935547,0.21921825408935547,negative,4,5,2
D_FROZEN_MINILM,2,4,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.1479368507862091,0.1479368507862091,negative,5,4,3
D_FROZEN_MINILM,2,4,387,comments,engagement_or_format,auxiliary_coefficient,0.11195211112499237,0.11195211112499237,positive,6,3,4
D_FROZEN_MINILM,3,1,387,comments,engagement_or_format,auxiliary_coefficient,-0.6444621086120605,0.6444621086120605,negative,1,6,1
D_FROZEN_MINILM,3,1,388,views,engagement_or_format,auxiliary_coefficient,0.6396148204803467,0.6396148204803467,positive,2,1,6
D_FROZEN_MINILM,3,1,386,likes,engagement_or_format,auxiliary_coefficient,-0.32274767756462097,0.32274767756462097,negative,3,5,2
D_FROZEN_MINILM,3,1,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.15279360115528107,0.15279360115528107,positive,4,2,5
