condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
B_DECISION_TREE,final_training_fit,all,253,symptoms,textual,gini_importance,0.2458658014374839,0.2458658014374839,positive,1,1,
B_DECISION_TREE,final_training_fit,all,17,adults,textual,gini_importance,0.07511037862754112,0.07511037862754112,positive,2,2,
B_DECISION_TREE,final_training_fit,all,27,away,textual,gini_importance,0.07489362132911632,0.07489362132911632,positive,3,3,
B_DECISION_TREE,final_training_fit,all,263,thing,textual,gini_importance,0.07455082600964237,0.07455082600964237,positive,4,4,
B_DECISION_TREE,final_training_fit,all,78,dopamine,textual,gini_importance,0.07335502898122391,0.07335502898122391,positive,5,5,
B_DECISION_TREE,final_training_fit,all,288,way,textual,gini_importance,0.06974877221577289,0.06974877221577289,positive,6,6,
B_DECISION_TREE,final_training_fit,all,256,talking,textual,gini_importance,0.06487084952104503,0.06487084952104503,positive,7,7,
B_DECISION_TREE,final_training_fit,all,301,hedge_score,handcrafted_linguistic,gini_importance,0.06469535435257967,0.06469535435257967,positive,8,8,
B_DECISION_TREE,final_training_fit,all,220,say,textual,gini_importance,0.049652153399345214,0.049652153399345214,positive,9,9,
B_DECISION_TREE,final_training_fit,all,67,different,textual,gini_importance,0.045785923392500774,0.045785923392500774,positive,10,10,
B_DECISION_TREE,final_training_fit,all,23,attention,textual,gini_importance,0.040662296000883835,0.040662296000883835,positive,11,11,
B_DECISION_TREE,final_training_fit,all,141,just,textual,gini_importance,0.03445485588331699,0.03445485588331699,positive,12,12,
B_DECISION_TREE,final_training_fit,all,110,going,textual,gini_importance,0.034238152041683914,0.034238152041683914,positive,13,13,
B_DECISION_TREE,final_training_fit,all,32,better,textual,gini_importance,0.03212198547810796,0.03212198547810796,positive,14,14,
B_DECISION_TREE,final_training_fit,all,9,adhd,textual,gini_importance,0.019994001329756244,0.019994001329756244,positive,15,15,
B_DECISION_TREE,final_training_fit,all,0,10,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,1,20,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,2,ability,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,3,able,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,4,absolutely,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,5,activities,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,6,activity,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,7,actually,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,8,add,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,10,adhd brain,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,11,adhd brains,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,12,adhd medication,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,13,adhd people,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,14,adhd symptoms,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,15,adhders,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,16,adult,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,18,affect,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,19,alcohol,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,20,anger,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,21,anxiety,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,22,ask,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,24,attention deficit,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,25,autism,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,26,avoid,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,28,bad,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,29,based,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,30,behavior,textual,gini_importance,0.0,0.0,zero,,,
B_DECISION_TREE,final_training_fit,all,31,best,textual,gini_importance,0.0,0.0,zero,,,
