condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
B_RIDGE,final_training_fit,1,5,adhd,textual,coefficient,0.2119062641381248,0.2119062641381248,positive,1,1,302
B_RIDGE,final_training_fit,1,69,don,textual,coefficient,-0.20516326679473676,0.20516326679473676,negative,2,302,1
B_RIDGE,final_training_fit,1,34,brain,textual,coefficient,-0.1905611785483855,0.1905611785483855,negative,3,301,2
B_RIDGE,final_training_fit,1,230,signs,textual,coefficient,0.18689920998008258,0.18689920998008258,positive,4,2,301
B_RIDGE,final_training_fit,1,54,diagnosis,textual,coefficient,0.16956549867807222,0.16956549867807222,positive,5,3,300
B_RIDGE,final_training_fit,1,218,school,textual,coefficient,0.16698093377604728,0.16698093377604728,positive,6,4,299
B_RIDGE,final_training_fit,1,204,problems,textual,coefficient,0.16196535300623552,0.16196535300623552,positive,7,5,298
B_RIDGE,final_training_fit,1,250,symptoms,textual,coefficient,0.16004163477557515,0.16004163477557515,positive,8,6,297
B_RIDGE,final_training_fit,1,45,common,textual,coefficient,0.15986579704178455,0.15986579704178455,positive,9,7,296
B_RIDGE,final_training_fit,1,70,dopamine,textual,coefficient,-0.14820512338877886,0.14820512338877886,negative,10,300,3
B_RIDGE,final_training_fit,1,21,anxiety,textual,coefficient,0.14307153629711433,0.14307153629711433,positive,11,8,295
B_RIDGE,final_training_fit,1,24,autism,textual,coefficient,0.14294970139117646,0.14294970139117646,positive,12,9,294
B_RIDGE,final_training_fit,1,261,thing,textual,coefficient,-0.1351902769238701,0.1351902769238701,negative,13,299,4
B_RIDGE,final_training_fit,1,288,want,textual,coefficient,-0.12966972423330786,0.12966972423330786,negative,14,298,5
B_RIDGE,final_training_fit,1,256,tasks,textual,coefficient,0.1286948890820888,0.1286948890820888,positive,15,10,293
B_RIDGE,final_training_fit,1,11,adhd medication,textual,coefficient,0.12530273647891518,0.12530273647891518,positive,16,11,292
B_RIDGE,final_training_fit,1,285,ve,textual,coefficient,-0.12263774013371843,0.12263774013371843,negative,17,297,6
B_RIDGE,final_training_fit,1,128,impulsivity,textual,coefficient,0.11472727265612859,0.11472727265612859,positive,18,12,291
B_RIDGE,final_training_fit,1,207,quickly,textual,coefficient,0.10962202415306718,0.10962202415306718,positive,19,13,290
B_RIDGE,final_training_fit,1,153,ll,textual,coefficient,-0.10949971972231407,0.10949971972231407,negative,20,296,7
B_RIDGE,final_training_fit,1,57,diet,textual,coefficient,-0.1088554944686397,0.1088554944686397,negative,21,295,8
B_RIDGE,final_training_fit,1,67,doesn,textual,coefficient,-0.10825727750641918,0.10825727750641918,negative,22,294,9
B_RIDGE,final_training_fit,1,52,depression,textual,coefficient,-0.1075570788072063,0.1075570788072063,negative,23,293,10
B_RIDGE,final_training_fit,1,223,sensitive,textual,coefficient,-0.10328892219414426,0.10328892219414426,negative,24,292,11
B_RIDGE,final_training_fit,1,14,adhd symptoms,textual,coefficient,0.10259574305370997,0.10259574305370997,positive,25,14,289
B_RIDGE,final_training_fit,1,49,criteria,textual,coefficient,0.1024296948003389,0.1024296948003389,positive,26,15,288
B_RIDGE,final_training_fit,1,112,harder,textual,coefficient,0.09982061973966203,0.09982061973966203,positive,27,16,287
B_RIDGE,final_training_fit,1,281,understanding,textual,coefficient,0.0987867579558745,0.0987867579558745,positive,28,17,286
B_RIDGE,final_training_fit,1,15,adhd women,textual,coefficient,-0.09720520674799936,0.09720520674799936,negative,29,291,12
B_RIDGE,final_training_fit,1,301,hedge_score,handcrafted_linguistic,coefficient,0.09684223566956604,0.09684223566956604,positive,30,18,285
B_RIDGE,final_training_fit,1,61,difficulty,textual,coefficient,0.09627366059018254,0.09627366059018254,positive,31,19,284
B_RIDGE,final_training_fit,1,194,people adhd,textual,coefficient,-0.09563915734979603,0.09563915734979603,negative,32,290,13
B_RIDGE,final_training_fit,1,289,way,textual,coefficient,-0.09534674669330889,0.09534674669330889,negative,33,289,14
B_RIDGE,final_training_fit,1,277,uh,textual,coefficient,-0.09423266240331081,0.09423266240331081,negative,34,288,15
B_RIDGE,final_training_fit,1,9,adhd diagnosis,textual,coefficient,0.0929777737352531,0.0929777737352531,positive,35,20,283
B_RIDGE,final_training_fit,1,124,impact,textual,coefficient,0.09263005901293529,0.09263005901293529,positive,36,21,282
B_RIDGE,final_training_fit,1,19,answer,textual,coefficient,0.09204688376890817,0.09204688376890817,positive,37,22,281
B_RIDGE,final_training_fit,1,16,adult,textual,coefficient,0.09143481946634971,0.09143481946634971,positive,38,23,280
B_RIDGE,final_training_fit,1,88,experience,textual,coefficient,0.09072470502440058,0.09072470502440058,positive,39,24,279
B_RIDGE,final_training_fit,1,100,food,textual,coefficient,-0.09047422183703849,0.09047422183703849,negative,40,287,16
B_RIDGE,final_training_fit,1,160,low,textual,coefficient,-0.0883687472310117,0.0883687472310117,negative,41,286,17
B_RIDGE,final_training_fit,1,98,focus,textual,coefficient,0.08828835356613901,0.08828835356613901,positive,42,25,278
B_RIDGE,final_training_fit,1,291,women,textual,coefficient,-0.08780869284153092,0.08780869284153092,negative,43,285,18
B_RIDGE,final_training_fit,1,17,adults,textual,coefficient,0.08641778206724142,0.08641778206724142,positive,44,26,277
B_RIDGE,final_training_fit,1,104,function,textual,coefficient,0.08599009390660632,0.08599009390660632,positive,45,27,276
B_RIDGE,final_training_fit,1,227,sep adhd,textual,coefficient,0.08565461943562781,0.08565461943562781,positive,46,28,275
B_RIDGE,final_training_fit,1,179,natural,textual,coefficient,-0.08462244460573713,0.08462244460573713,negative,47,284,19
B_RIDGE,final_training_fit,1,101,foods,textual,coefficient,-0.0844573862419177,0.0844573862419177,negative,48,283,20
B_RIDGE,final_training_fit,1,141,kind,textual,coefficient,0.0840414130834878,0.0840414130834878,positive,49,29,274
B_RIDGE,final_training_fit,1,224,sensitivity,textual,coefficient,-0.0835255314270477,0.0835255314270477,negative,50,282,21
