condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
A_COMPLEMENT_NB,1,1,273,treatment,textual,complement_log_weight,5.914104976123646,5.914104976123646,positive,1,1,
A_COMPLEMENT_NB,1,1,182,music,textual,complement_log_weight,5.911227286579174,5.911227286579174,positive,2,2,
A_COMPLEMENT_NB,1,1,263,therapy,textual,complement_log_weight,5.8951720664073335,5.8951720664073335,positive,3,3,
A_COMPLEMENT_NB,1,1,133,inattentive,textual,complement_log_weight,5.892840867051245,5.892840867051245,positive,4,4,
A_COMPLEMENT_NB,1,1,129,impact,textual,complement_log_weight,5.892285194446691,5.892285194446691,positive,5,5,
A_COMPLEMENT_NB,1,1,274,trouble,textual,complement_log_weight,5.883267041934346,5.883267041934346,positive,6,6,
A_COMPLEMENT_NB,1,1,145,know adhd,textual,complement_log_weight,5.8809836327362035,5.8809836327362035,positive,7,7,
A_COMPLEMENT_NB,1,1,251,support,textual,complement_log_weight,5.879130597114201,5.879130597114201,positive,8,8,
A_COMPLEMENT_NB,1,1,8,adhd medication,textual,complement_log_weight,5.871741866725578,5.871741866725578,positive,9,9,
A_COMPLEMENT_NB,1,1,272,times,textual,complement_log_weight,5.870494684224204,5.870494684224204,positive,10,10,
A_COMPLEMENT_NB,1,1,14,affect,textual,complement_log_weight,5.867361009528555,5.867361009528555,positive,11,11,
A_COMPLEMENT_NB,1,1,12,adult,textual,complement_log_weight,5.867314496219646,5.867314496219646,positive,12,12,
A_COMPLEMENT_NB,1,1,238,starting,textual,complement_log_weight,5.8652824056964725,5.8652824056964725,positive,13,13,
A_COMPLEMENT_NB,1,1,184,needs,textual,complement_log_weight,5.864461374614383,5.864461374614383,positive,14,14,
A_COMPLEMENT_NB,1,1,77,dr,textual,complement_log_weight,5.864026450255375,5.864026450255375,positive,15,15,
A_COMPLEMENT_NB,1,1,278,typically,textual,complement_log_weight,5.862942374970004,5.862942374970004,positive,16,16,
A_COMPLEMENT_NB,1,1,224,seen,textual,complement_log_weight,5.862811413910261,5.862811413910261,positive,17,17,
