condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
C_COMPLEMENT_NB,2,4,1,number,textual,0.7757955936599895,5.153243114248969,3.997863301093032,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,2,seven,textual,0.3992829316524525,6.521764649397291,2.604029308758679,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,3,comments_within_platform_percentile,engagement_or_format,0.969072163105011,2.6589947354385086,2.576757779956232,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,4,views_within_platform_percentile,engagement_or_format,0.969072163105011,2.658864986578647,2.5766320439479458,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,5,likes_within_platform_percentile,engagement_or_format,0.9587628841400146,2.6574441206270873,2.5478587895333513,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,6,duration_sec_within_platform_percentile,engagement_or_format,0.8247422575950623,2.646628976423182,2.182786757031764,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,7,10,textual,0.21923153091291728,6.207400063051312,1.3608578188116784,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,8,certainty_score,handcrafted_linguistic,0.290547251701355,3.467459090158667,1.0074607090324816,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,9,later,textual,0.12857128440114068,6.8252668729548525,0.8775333282363624,input_times_complement_log_weight
C_COMPLEMENT_NB,2,4,10,people,textual,0.17493758637580378,4.753748056824146,0.8316092112994835,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,1,likes_within_platform_percentile,engagement_or_format,0.9896907210350037,2.668264590452321,2.6407567064369264,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,2,views_within_platform_percentile,engagement_or_format,0.9742268323898315,2.667144253070424,2.5984034971955428,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,3,comments_within_platform_percentile,engagement_or_format,0.9639175534248352,2.6667390993499516,2.570516628267754,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,4,hyper,textual,0.3302710271118304,6.857642975853234,2.2648807892012766,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,5,people adhd,textual,0.4071471903624951,5.385313600864308,2.1926153018128343,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,6,thinking,textual,0.3117450298477509,6.805280792854818,2.121512463890851,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,7,calm,textual,0.31513418518897607,6.6130207792576075,2.0839889149091135,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,8,fast,textual,0.30535551050412,6.531055044778202,1.9942936473287562,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,9,people,textual,0.28585342882352016,4.71492746097873,1.347778181374944,input_times_complement_log_weight
C_COMPLEMENT_NB,9,2,10,brain,textual,0.23644502406719317,4.75149755243833,1.1234679531414904,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,1,duration_sec_within_platform_percentile,engagement_or_format,0.969072163105011,2.646628976423182,2.564774467118814,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,2,medication,textual,0.38000672622670206,5.338498004198996,2.028665149543443,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,3,diagnosed,textual,0.31875961320983554,5.827378527114964,1.8575329253304669,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,4,certainty_score,handcrafted_linguistic,0.4540669620037079,3.467459090158667,1.574458614940487,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,5,don,textual,0.2800018439171092,5.256937205491749,1.471952110894145,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,6,going,textual,0.27003171045010416,5.395523704203223,1.456962494620078,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,7,want,textual,0.24835963748005827,5.688072536687129,1.412687633171891,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,8,don know,textual,0.18378195176426015,6.954888798521566,1.2781830376956838,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,9,didn,textual,0.16803789553640786,6.833141760433301,1.148226761325157,input_times_complement_log_weight
C_COMPLEMENT_NB,16,4,10,sure,textual,0.18378195176426015,6.204142288442799,1.140209378793201,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,1,um,textual,0.7601351463982129,7.029938554499158,5.343703372294659,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,2,certainty_score,handcrafted_linguistic,0.7392404675483704,3.4383961814019615,2.5418016007561173,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,3,know,textual,0.2653683120845385,5.11069903841075,1.3562175773951346,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,4,kind,textual,0.20584647161705327,5.869908113790764,1.2082998739401412,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,5,does,textual,0.1879494579501023,5.840388596006377,1.0976978708373575,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,6,right,textual,0.18227796325662676,5.497712775290629,1.0021118872499128,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,7,somebody,textual,0.13894140703235677,6.704068456488316,0.9314727041857269,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,8,doctor,textual,0.13088586211341238,6.616630560027542,0.8660233951351555,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,9,stuff,textual,0.13088586211341238,6.615277416856263,0.8658462878246197,input_times_complement_log_weight
C_COMPLEMENT_NB,27,1,10,don know,textual,0.12682444851054833,6.734225494943414,0.8540644345418729,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,1,people,textual,0.40993581689593617,4.753748056824146,1.9487315929916755,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,2,diagnosed,textual,0.3038076070746488,5.827378527114964,1.7704019258409887,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,3,likes_within_platform_percentile,engagement_or_format,0.6494845151901245,2.6574441206270873,1.7259688063303307,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,4,comments_within_platform_percentile,engagement_or_format,0.6056700944900513,2.6589947354385086,1.6104735926615903,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,5,adhders,textual,0.2064400660951078,7.1038085393614105,1.4665107043927608,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,6,views_within_platform_percentile,engagement_or_format,0.5412371158599854,2.658864986578647,1.4390764167969257,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,7,consequences,textual,0.19719349839202505,7.05841994539624,1.391874522152731,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,8,away,textual,0.1788265461776692,7.4379323408692315,1.3300997512208308,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,9,duration_sec_within_platform_percentile,engagement_or_format,0.49484536051750183,2.646628976423182,1.3096720699941964,input_times_complement_log_weight
C_COMPLEMENT_NB,34,4,10,strategies,textual,0.19719349839202505,6.434409339748816,1.2688236877913892,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,1,information,textual,0.42523109571958834,6.925850394648422,2.945086952106292,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,2,harder,textual,0.28348739714639226,6.317621714826948,1.7909661360918188,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,3,comments_within_platform_percentile,engagement_or_format,0.5979381203651428,2.6589947354385086,1.589914314168912,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,4,mean,textual,0.24358331677798672,6.242477997558297,1.520563495558855,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,5,understand,textual,0.23983830660267483,6.263263686521672,1.502170556381384,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,6,need,textual,0.25097897216060505,5.5950136072977745,1.4042307643841947,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,7,views_within_platform_percentile,engagement_or_format,0.5051546096801758,2.658864986578647,1.3431379044874223,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,8,got,textual,0.21792716274256962,6.141555805062853,1.3384118314225055,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,9,duration_sec_within_platform_percentile,engagement_or_format,0.49484536051750183,2.646628976423182,1.3096720699941964,input_times_complement_log_weight
C_COMPLEMENT_NB,39,4,10,certainty_score,handcrafted_linguistic,0.34928229451179504,3.467459090158667,1.2111220671364005,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,1,start,textual,0.6397396772224702,5.575858375262291,3.5670978372285047,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,2,ll,textual,0.3674128188622889,5.644001978587512,2.0736786766171735,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,3,going,textual,0.3718561941324534,5.395523704203223,2.0063589099964476,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,4,duration_sec_within_platform_percentile,engagement_or_format,0.7036082744598389,2.646628976423182,1.8621900472365247,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,5,got,textual,0.205387288389167,6.141555805062853,1.2613974932926069,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,6,let,textual,0.18370640943114444,5.863865393839154,1.0772296568897346,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,7,know,textual,0.19858226478924842,5.1991179309616005,1.032452613636746,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,8,away,textual,0.12918940348767277,7.4379323408692315,0.9609020422985656,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,9,example,textual,0.13205816787387029,6.445378064284915,0.8511648184238985,input_times_complement_log_weight
C_COMPLEMENT_NB,42,4,10,just,textual,0.17089320311361958,4.918677733931218,0.8405685930351456,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,1,trying,textual,0.4655587111464363,6.284381340070556,2.9257484770359627,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,2,hard,textual,0.453216276105553,6.143946413085131,2.7845365139305125,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,3,likes_within_platform_percentile,engagement_or_format,0.6391752362251282,2.692290383308766,1.7208453417380214,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,4,comments_within_platform_percentile,engagement_or_format,0.623711347579956,2.6901530146198276,1.6778789619448138,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,5,time,textual,0.30293830863160964,5.249733714800582,1.5903454523280254,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,6,make,textual,0.26982992816341866,5.624755201666368,1.5177272920024516,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,7,views_within_platform_percentile,engagement_or_format,0.5360824465751648,2.6845092388620007,1.4391182806227747,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,8,certainty_score,handcrafted_linguistic,0.3903743326663971,3.451951405535788,1.3475532263328647,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,9,duration_sec_within_platform_percentile,engagement_or_format,0.4819587767124176,2.654930619860972,1.2795671138045348,input_times_complement_log_weight
C_COMPLEMENT_NB,45,3,10,things,textual,0.19894643619272623,5.074175935562386,1.009489218995029,input_times_complement_log_weight
C_COMPLEMENT_NB,49,4,1,phone,textual,0.3848689799130956,6.921620393925246,2.6639169803556886,input_times_complement_log_weight
C_COMPLEMENT_NB,49,4,2,needs,textual,0.37219783655493216,7.099632504748742,2.642467858602556,input_times_complement_log_weight
C_COMPLEMENT_NB,49,4,3,place,textual,0.3762442083170374,7.000710058337206,2.633976613556203,input_times_complement_log_weight
C_COMPLEMENT_NB,49,4,4,relationships,textual,0.4104256054427749,6.401489932596538,2.6273353813217626,input_times_complement_log_weight
C_COMPLEMENT_NB,49,4,5,type,textual,0.3609644316845444,6.28172609977544,2.2674796916034112,input_times_complement_log_weight
C_COMPLEMENT_NB,49,4,6,did,textual,0.3446783282007255,6.503497919449054,2.2416147903325965,input_times_complement_log_weight
