condition,row_index,true_label,prediction,record_id,platform,title,transcript,total_claims,false_claims,signed_error,absolute_error,error_direction
A_LOGISTIC_REGRESSION,16,2,4,youtube:000016,youtube,An ADHD Diagnosis Does Not Mean Medication,"Hi I'm Rick Green, I'm a comedian who has a science degree and attention deficit hyperactivity disorder (ADHD). In the videos that I'm making for my YouTube channel Rick has ADHD I often Advocate and recommend getting properly diagnosed, now what I hear from people is two things, one is I couldn't wait to get diagnosed and when I was diagnosed everything started to make sense. Okay there's two or three responses, another response is I really would like to find out but I'm waiting because there's a long waiting line, and I've done a video about that as well. Then there is the I'm pretty sure I have it, I've read all the checklists, took all the online screener tests and so on, but I don't want to have to take drugs, so I'm not going to get diagnosed. So uh, I don't know where you live but nobody can force you to take a medication for anything, if you had a fatal disease and there was medication for it you don't have to take it, they'd recommend you take it, and you might want to learn more and decide if you want to take it. But with ADHD medication despite its wonderful track record most people I know who've tried it, stick with it, it's been a life changer, and some people I know have tried it, didn't like it, and stopped taking it, and that's the thing, you could try it, because I was reluctant, I have to tell you I don't drink, I never smoked any of that. So my friends all did, that that was fun, but I didn't take drugs. So the idea of taking a drug, a medication, that worried me, I was frightened that I was going to turn into a zombie or something, and it actually just made me calmer, but I wasn't zombified. I actually just got more done with less stress and it turned down that noise of the five radio stations that are playing in my head way down so I could sit and actually do taxes, which was shocking to me, shocking, I just did years worth of taxes in one day. So you don't have to take medication, you don't have to do anything, but once you know for sure what's going on believe me you are going to want to try different strategies and tools and techniques, and apps, and all of these things that are going to make life so much easier.",4,1,2,2,overestimates_severity
A_LOGISTIC_REGRESSION,34,3,1,youtube:000034,youtube,ADHD Late Diagnosis Consequences,"People say the ADHD diagnosis is pointless, labeling yourself. Did you know that not being diagnosed can lead to some pretty serious consequences? Two times as many relationships fail when one of the partners has ADHD. Literal jail. Research suggests that between 25 and 45% of people in prison would meet the diagnostic criteria for ADHD, and that's compared to 5% of people in the general population. Addiction. People with ADHD who are not diagnosed still have symptoms and may end up turning to unhelpful coping strategies that can turn into addictions that they can't get away from because they still need a crutch to cope with their ADHD symptoms. Low self-esteem. Shame. ADHDers have received so many more negative messages by the time they're even 10 years old. And this means that they do not feel good about themselves, and this can lead to things like not being able to maintain boundaries, being a people pleaser, and secondary to that, not achieving your academic potential, not achieving your career goals.",5,3,-2,2,underestimates_severity
A_LOGISTIC_REGRESSION,39,3,4,youtube:000039,youtube,Professor said ADHD isn’t real… wait till you see this 😳,"Just a reminder, anyone that's claiming that they have, or they do have ADHD, I need you all to understand that if you got a bad grade, I believe you guys need to study a little bit harder. Sorry, I feel like that was incredibly rude. I mean, are you kidding me? I got diagnosed with ADHD at a very young age, and classes like this that are extremely hard and have extremely long lectures and a lot of information, and for you to just say that we need to work harder is absolute >> I mean, I've been teaching this class for about like 10 years, and I've never had any student complain to me about anything. I beg to differ. You have two stars on RateMyProfessor, and a lot of the comments are saying that you are a tough grader and give way too many slides. So, more information is not a good thing for students with ADHD, but clearly you wouldn't understand that because you just don't believe it's a real thing. Luckily, my doctor told me to look up this website called I Hate Reading. You can upload every single lecture slide, and it will make you flashcards, quizzes, so you could actually work with the information.",2,1,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,42,1,4,youtube:000042,youtube,ADHD is not real! #adhd #adhdawareness #adhdproblems #adhdlife #neurodivergent #neurospicy #fyp,what is ADHD it's just an excuse to be lazy have you heard that before you've been one of those people that have said that that you just AG your ADHD is an excuse and you're just being lazy I'm going to give you an example of what it's like to have an ADHD brain ignore that thing shaking so let's say you got a car you got an Audi so per someone that's neurotypical they'll get in the car and they'll start they turn the key and they start the engine and it's start straight away done and we'll start driving someone with ADHD now it's the same car it's an Ali however the engine parts are faulty you know the glow plugs might need you know replacing or you know so you start the car it's taking some time to start it's going and then it's going to take a while for it to start and then once it starts it'll get going but it's going to take time to speed up Let the clutches gone so that's the best I can explain,2,0,3,3,overestimates_severity
A_LOGISTIC_REGRESSION,45,1,3,youtube:000045,youtube,Is ADHD real?,one of the myths about ADHD is that people just need to try harder or that they're being lazy when in fact they really are trying hard they're trying hard to make it to that event on time they're trying hard to make sure they respond to every email they're trying hard to focus on a test but there are distractions and other things that happen that make it a struggle ADHD is very real for adults what you might notice is that you're over scheduling you are committing to things when you don't really have the time to commit you're losing track of time easily you might forget to respond to text messages or have 50 unread text messages because it just is a little bit overwhelming to respond to Everything at Once if you're in a relationship or you're partner with someone who is more structured or more rigid it may become annoying to them if they expect things to go one way and you don't always follow through with the plan because you've lost track of time or you have trouble with organizing or planning,6,0,2,2,overestimates_severity
A_LOGISTIC_REGRESSION,60,1,3,youtube:000060,youtube,Rejection sensitivity & ADHD | Experts answer,why am I so sensitive to rejection rejection is hard for everybody but as it turns out people with ADHD often suffer from something called rejection sensitivity dysphoria now you can have rejection sensitivity without ADHD but we often see that they go hand inand and what this means is is that you might misinterpret things and become overly emotional about things an example would be that someone looks at you the wrong way and you immediately become panick that they hate you and what your ADHD does is it gets you stuck you're unable to zoom out and see that he looked at everybody that way or he doesn't even know you and then the emotions become overwhelming and at that point you become disregulated and the problem with that is sometimes you can misinterpret the situation or overreact to the situation and then the person may become defensive or angry and all of a sudden everybody's angry and sensitive and disrupted that's why it's important to take a step back sometimes just take a deep breath count to five see the broader picture and maybe regulate your emotions before you go down the rapit hole,4,0,2,2,overestimates_severity
A_LOGISTIC_REGRESSION,68,2,3,youtube:000068,youtube,What Actually Causes ADHD? Dr. Vishal Kasal Explains the Real Brain Science Behind It,"What causes this ADHD? Is it a brain problem that you know no normal development? >> So it is it is a brain problem. The they are still trying to find out the exact reasons but it seems to be multiffactorial in nature. Okay. So uh the there are three things which they have consistently seen. Uh the prefrontal cortex uh is the last one to mature. In people with ADHD, they have seen that the gray matter thickness in the prefrontal cortex is on the lesser side. Ability to think is because of the gray. So that the thickness of that is slightly reduced in people with ADHD. Uh and uh what they have also seen is that it matures or the malination happens in a delayed basis in people with ADHD.",8,3,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,76,1,2,youtube:000076,youtube,ADD vs ADHD: What's the Real Difference?,"I get this a lot. Um, and would you mind kind of clarifying for us what the differences are and whether or not that difference is uh meaningful? >> Yeah, so ADD stands for attention deficit disorder, and that's just kind of a general umbrella term. ADHD is attention deficit hyperactivity disorder, and so uh there's not a huge difference in in my mind. That's why I tend to use them kind of interchangeably because even when we look at uh the diagnosis and we we diagnose according to the ICD-10 and the DSM, uh there's actually subtypes. So, even though they say ADHD, the subtype would be predominantly uh inattentive, for example, rather than um hyperactive or um yeah. >> So, if it's So, if it's ADHD predominantly inattentive, that is synonymous with ADD, is what you're saying.",5,0,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,91,3,1,youtube:000091,youtube,Is It Bipolar Disorder or Severe ADHD?,lot of people who get misdiagnosed with bipolar disorder who actually have severe ADHD because at the end of the day both conditions are impulse control disorders the difference is that with bipolar disorder you expect to see sustained periods of elevated mood or depressed mood and by sustained I'm talking about a week whereas with ADHD you tend to see swings in mood hour by hour uh potentially due to challenges with self regulation,4,2,-2,2,underestimates_severity
A_LOGISTIC_REGRESSION,92,3,2,youtube:000092,youtube,How to treat ADHD and depression | Experts answer,how do you treat ADHD and depression so this is pretty straightforward for me obviously both disorders need to be treated but there's a hierarchy here if you're concerned that you have depression at all we always treat that first the first and foremost is making sure that you're safe that you're not feeling hopeless or suicidal the key to that is is that if you properly treat the depression you get the help you need whether it's therapy meds family support it really will have a huge impact on your ADHD because people that are depressed really can't manage their ADHD even if they're on the right meds and even if they have the world's greatest support system if you're suffering from depression you're not going to have the energy or the focus to take the steps you need to feel present and engaged so the key is take care of yourself first make sure you're safe treat the depression and the ADHD will follow,6,3,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,111,2,1,youtube:000111,youtube,ADHD in Children - Treatment Methods with Dr. Chiang,you want to rule out all diagnosis before you settle on ADHD and the reason why is because there are specific treatments for ADHD that will not work if your child doesn't actually have ADHD so stimulate medications that you have heard so that's the first treatment that everybody ask for and that's what schools often ask for because they just want the child to calm down however a child who does not have ADHD the stimulant medications can actually cause them to be more anxious and agitated so it does the opposite of what you would expect just remember they all have side effects um you want to keep a a close eye on that a lot of children don't sleep on simulate medications and they don't eat very well either so you definitely want your pediatrician or other medical doctor to keep a close eye on your child there are what we call behavioral strategies um so sometimes kids can go and see a psychologist or a social worker or any um mental health therapist can teach your child obviously this is when your child's a little bit older I would recommend at least eight when your child is able to understand and make changes um and so they can teach them strategies like how to organize how to manage time um how to one of the common themes of ADH children who do have ADHD is they're very forgetful right they they don't remember things so a lot of times us adults keep reminding them but if they're not going to remember the information provide like let's say visual cues those of us who are older we use a planner organizer and you can definitely start teaching that y um and then what also happens um you know you can also modify you want to make sure your child is getting enough sleep getting enough to eat right if we if they're on stimulate medications their appetite will be less so you want to make sure that all these other things are getting adequate sleep eating enough and so that we don't have other reasons for causing them to be inattentive or hyperactive,11,4,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,113,3,4,youtube:000113,youtube,How to manage ADHD paralysis 🧠 #adhd #adhdsupport,"People with ADHD struggle with motivation. So instead of trying to find motivation, it's better to try to find momentum. And you can find momentum by stacking dopamine. For example, if you start your day with a really big task, which needs motivation, which is what we don't have, you'll become overwhelmed, give up, and then spend the rest of the day full of shame, doom scrolling social media. Instead of that, try starting the day with a really small task. That'll give you a little bit of dopamine which you can use to start the next slightly bigger task. Continue this pattern until you've stacked enough dopamine and built enough momentum and use this momentum to attack the bigger tasks later in the day. And by this stage, you'll have so much dopamine that you'll probably even enjoy the big task.",5,3,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,122,1,3,youtube:000122,youtube,⏰ ADHD & Time Blindness: The 3x10 Rule That Actually Helps,"So there are three big problems that those of us with ADHD and executive function challenges have when it comes to managing time. With the ADHD brain one of the three problems with managing time is called time blindness, we tend to be very unrealistic about time and that can get us into a lot of trouble. Number two is because of this time blindness and because of just challenges with time managment and the ADHD brain being late and often what comes with being late is being unprepared and that leads to number three a lot of us with ADHD brains and executive function challenges tend to be poor at planning, poor at forethought right",4,0,2,2,overestimates_severity
A_LOGISTIC_REGRESSION,144,3,2,youtube:000144,youtube,Easy Natural Treatments for A.D.D. and A.D.H.D,treatment for ADD and inattentive add is the same as classic very similar even though it's not identified until later the treatments are the same for almost all of these add I like identifying each add so you can see what it is but you're not going to see much variation in the treatment because they're also similar intense aerobic exercise I like to do Jiu Jitsu that's me right there in the the blue ghee the blue uniform um limit video games and T TV especially the the violent and the aggressive ones for somebody who has ADD inattentive add l-tyrosine again helps with the neurotransmitters fish oil where have we heard that before high protein low carb diet,6,4,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,145,2,3,youtube:000145,youtube,How do #periods impact #ADHD symptoms? #pms,"I'm going to explain how your periods impact ADHD symptoms in less than 30 seconds. So, strap in. Two hormones you need to care about here, estrogen and dopamine. Estrogen increases the amount of dopamine made and decreases its breakdown. Dopamine helps you regulate attention and manage motivation. The week before your period, your estrogen levels drop. Less estrogen equals less dopamine equals more problems.",3,1,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,147,1,4,youtube:000147,youtube,Being Diagnosed With ADHD As An Adult #adhd #mentalhealth #adultadhd,"When were you diagnosed? >> I was diagnosed when I was 43. Typically what happens, kids get diagnosed and then through that process, the parent kind of goes, ""Wait, now little junior is exactly like I was, right? Myself and my daughter, we did it the other way around. I actually got my diagnosis first and then we kind of went, hey, she's just like me."" >> So, what made you seek a diagnosis? I I had always experienced, you know, what I know now are pretty common, I guess, feelings that that are associated with ADHD. But really the breaking point was when I I received a promotion into management. By all accounts, you know, my life had been pretty good. You know, things were going great outwardly. Inwardly, there was a tremendous amount of anxiety, even mild depression. That led me to just see a counselor, just see a therapist. Well, I remember telling her, ""But I can't have ADHD because I hold down a job and I have a house and I have a family."" And she goes, ""Yeah, but how hard is it?"" I went, ""It's tough. It's tough. You know, it feels like I'm walking through 3 ft of water most of the",2,0,3,3,overestimates_severity
A_LOGISTIC_REGRESSION,150,2,3,youtube:000150,youtube,Natural Recommendations For Kids With ADHD,"So stimulants like rolin or aderall are the number one prescribed treatments for kids who have ADHD. It is never number one in my mind. Now I'm not opposed to medicine. I just it's not the first thing I think of. The first thing I think of is what's their diet like? There's a study from Holland that was replicated that showed when you k put kids on an elimination diet. They got rid of gluten, dairy, corn, soy, artificial dyes, and sweeteners, 70% did not have ADD after 3 months. Diet is so important. There's another study with phospatidal searing showing that it can be uh effective. Another study with picnogginal uh marine pine bark uh shown that that can be helpful. You also want to make sure you check their feritin levels. Feritin is a measure of iron storage because low iron. Low feritin levels have been associated with ADD and just giving them feritin sometimes can make a huge positive difference.",6,2,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,159,2,3,youtube:000159,youtube,Can ADHD Be Treated Holistically? 💊,can add be treated without medication the answer is yes add can be addressed holistically through a number of different strategies including exercise especially cardio enhancing blood flow to the front of your brain helps with Focus number two supplements things like Omega-3s phosphoserine ashwagandha jinsang riola but also neuro feedback can be very helpful neuro feedback allows us to train electrical activity in our brain which helps enhance Focus lastly behavioral strategies setting up your workspace to serve you as opposed to distract you,5,2,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,164,1,2,youtube:000164,youtube,10 Signs it’s ADHD and Autism (Part 1) #videopodcast,10 signs that you may have autism and ADHD social interaction is number one so we know autistic people have difficulty with social interaction and communication however those with ADHD can also struggle with social cues and have a hard time waiting for their time to speak or play number two repetitive behaviors now the common sign of autism is repetitive and restrictive behaviors but people with ADHD can also display repetitive movements like tapping their feet or fingers number three sensory sensitivities so autistic people as you know we can be hypo or hyper sensitive so that's like over or under experience okay so imagine being hypersensitive to certain sensory stimuli this is interesting though people with ADHD also experience sensitivity to noise light Touch number four hyperactivity hyperactivity is also a common sign of ADHD,7,0,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,173,3,4,youtube:000173,youtube,How to spot ADHD in women 💚 #adhd #adhdbrain #neurodivergent,how to spot ADHD and women in 25 seconds they will overthink everything that's because the hyperactivity is in their heads it's like five squirrels on speed barreling around up there and it never stops ever and this will cause a lot of anxiety which is why so many women were misdiagnosed with an anxiety disorder they will be great in a crisis but can become overwhelmed over something small they will overshare at Social Gatherings and then spend months thinking everyone thought they were too much and now hates them even their best friends they will have a messy room but know the exact location of everything when someone tells them a story they will reply with a similar story they're not trying to make it all about them it's their way of showing they understand they'll be very good at hiding their problems so people will think they're happy maintaining friendships is hard because object permanence makes it easy to forget people exist they will spend their life feeling like they are constantly just barely staying above water they'll wish they could go back in time put their arms around the younger version of themselves and reassure them that everything is going to be okay and that they're not broken just different,8,5,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,196,1,2,youtube:000196,youtube,Do I have OCD or ADHD or Both?,did you know that OCD is sometimes misdiagnosed as ADHD October is ADHD awareness month and I'd like to share some information with you about the similarities and differences between OCD and ADHD both disorders can include problems with concentration sleep time management emotional disregulation and sensory issues however they have several distinct features as well ADHD may include inattention hyperactivity forgetfulness impulsivity or hyper Focus people may use the word obsessed to describe their hyperfixation such as my child is obsessed with trains or I'm obsessed with this new TV show on the other hand obsessions in OCD are unwanted and upsetting which creates anxiety and distress that drives the individual to perform compulsions in some cases individuals may have both OCD and ADHD an in-depth assessment can help clients and their families receive an accurate diagnosis and effective treatment,5,0,1,1,overestimates_severity
