condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
B_DECISION_TREE,3,1,0,0,False,ve,textual,0.0780568913458474,<=,0.09965021163225174
B_DECISION_TREE,3,1,1,1,False,low,textual,0.0,<=,0.0819011889398098
B_DECISION_TREE,3,1,2,2,False,body,textual,0.0,<=,0.11443183571100235
B_DECISION_TREE,3,1,3,3,False,pay attention,textual,0.0,<=,0.13475611060857773
B_DECISION_TREE,3,1,4,4,False,sep,textual,0.029796777149085654,>,0.024572113528847694
B_DECISION_TREE,3,1,6,5,True,,,,leaf,
B_DECISION_TREE,4,1,0,0,False,ve,textual,0.0,<=,0.09965021163225174
B_DECISION_TREE,4,1,1,1,False,low,textual,0.0,<=,0.0819011889398098
B_DECISION_TREE,4,1,2,2,False,body,textual,0.0,<=,0.11443183571100235
B_DECISION_TREE,4,1,3,3,False,pay attention,textual,0.0,<=,0.13475611060857773
B_DECISION_TREE,4,1,4,4,False,sep,textual,0.047526789873379556,>,0.024572113528847694
B_DECISION_TREE,4,1,6,5,True,,,,leaf,
B_DECISION_TREE,7,1,0,0,False,ve,textual,0.0,<=,0.09965021163225174
B_DECISION_TREE,7,1,1,1,False,low,textual,0.0,<=,0.0819011889398098
B_DECISION_TREE,7,1,2,2,False,body,textual,0.0,<=,0.11443183571100235
B_DECISION_TREE,7,1,3,3,False,pay attention,textual,0.0,<=,0.13475611060857773
B_DECISION_TREE,7,1,4,4,False,sep,textual,0.04847870630665521,>,0.024572113528847694
B_DECISION_TREE,7,1,6,5,True,,,,leaf,
B_DECISION_TREE,16,3,0,0,False,ve,textual,0.18009193124943149,>,0.09965021163225174
B_DECISION_TREE,16,3,16,1,False,hedge_score,handcrafted_linguistic,1.6470588445663452,<=,3.3558558225631714
B_DECISION_TREE,16,3,17,2,False,ve,textual,0.18009193124943149,<=,0.18730401247739792
B_DECISION_TREE,16,3,18,3,False,long,textual,0.07533434780041551,>,0.039603665471076965
B_DECISION_TREE,16,3,22,4,True,,,,leaf,
B_DECISION_TREE,24,1,0,0,False,ve,textual,0.0,<=,0.09965021163225174
B_DECISION_TREE,24,1,1,1,False,low,textual,0.0,<=,0.0819011889398098
B_DECISION_TREE,24,1,2,2,False,body,textual,0.0,<=,0.11443183571100235
B_DECISION_TREE,24,1,3,3,False,pay attention,textual,0.0,<=,0.13475611060857773
B_DECISION_TREE,24,1,4,4,False,sep,textual,0.03842822010834109,>,0.024572113528847694
B_DECISION_TREE,24,1,6,5,True,,,,leaf,
B_DECISION_TREE,26,1,0,0,False,ve,textual,0.0,<=,0.09965021163225174
B_DECISION_TREE,26,1,1,1,False,low,textual,0.0,<=,0.0819011889398098
B_DECISION_TREE,26,1,2,2,False,body,textual,0.08583711010046327,<=,0.11443183571100235
B_DECISION_TREE,26,1,3,3,False,pay attention,textual,0.0,<=,0.13475611060857773
B_DECISION_TREE,26,1,4,4,False,sep,textual,0.02529954646683122,>,0.024572113528847694
B_DECISION_TREE,26,1,6,5,True,,,,leaf,
B_DECISION_TREE,43,1,0,0,False,ve,textual,0.0,<=,0.09965021163225174
