condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
D_FROZEN_MINILM,final_training_fit,1,388,views,engagement_or_format,auxiliary_coefficient,1.1648855209350586,1.1648855209350586,positive,1,1,6
D_FROZEN_MINILM,final_training_fit,1,387,comments,engagement_or_format,auxiliary_coefficient,-0.796137809753418,0.796137809753418,negative,2,6,1
D_FROZEN_MINILM,final_training_fit,1,386,likes,engagement_or_format,auxiliary_coefficient,-0.7855955958366394,0.7855955958366394,negative,3,5,2
D_FROZEN_MINILM,final_training_fit,1,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.175747275352478,0.175747275352478,negative,4,4,3
D_FROZEN_MINILM,final_training_fit,1,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.1555672138929367,0.1555672138929367,positive,5,2,5
D_FROZEN_MINILM,final_training_fit,1,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.0980894714593887,0.0980894714593887,positive,6,3,4
D_FROZEN_MINILM,final_training_fit,2,388,views,engagement_or_format,auxiliary_coefficient,1.1836693286895752,1.1836693286895752,positive,1,1,6
D_FROZEN_MINILM,final_training_fit,2,386,likes,engagement_or_format,auxiliary_coefficient,-0.8878578543663025,0.8878578543663025,negative,2,6,1
D_FROZEN_MINILM,final_training_fit,2,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.5500386953353882,0.5500386953353882,negative,3,5,2
D_FROZEN_MINILM,final_training_fit,2,389,duration_sec,engagement_or_format,auxiliary_coefficient,0.5252933502197266,0.5252933502197266,positive,4,2,5
D_FROZEN_MINILM,final_training_fit,2,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.1890614777803421,0.1890614777803421,positive,5,3,4
D_FROZEN_MINILM,final_training_fit,2,387,comments,engagement_or_format,auxiliary_coefficient,0.0029305387288331,0.0029305387288331,positive,6,4,3
D_FROZEN_MINILM,final_training_fit,3,386,likes,engagement_or_format,auxiliary_coefficient,0.8294498920440674,0.8294498920440674,positive,1,1,6
D_FROZEN_MINILM,final_training_fit,3,388,views,engagement_or_format,auxiliary_coefficient,-0.5937933921813965,0.5937933921813965,negative,2,6,1
D_FROZEN_MINILM,final_training_fit,3,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.2430390417575836,0.2430390417575836,negative,3,5,2
D_FROZEN_MINILM,final_training_fit,3,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.1864234656095504,0.1864234656095504,negative,4,4,3
D_FROZEN_MINILM,final_training_fit,3,387,comments,engagement_or_format,auxiliary_coefficient,-0.0792638286948204,0.0792638286948204,negative,5,3,4
D_FROZEN_MINILM,final_training_fit,3,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.0661302953958511,0.0661302953958511,positive,6,2,5
D_FROZEN_MINILM,final_training_fit,4,388,views,engagement_or_format,auxiliary_coefficient,-1.754762053489685,1.754762053489685,negative,1,6,1
D_FROZEN_MINILM,final_training_fit,4,387,comments,engagement_or_format,auxiliary_coefficient,0.8724719882011414,0.8724719882011414,positive,2,1,6
D_FROZEN_MINILM,final_training_fit,4,386,likes,engagement_or_format,auxiliary_coefficient,0.8440014719963074,0.8440014719963074,positive,3,2,5
D_FROZEN_MINILM,final_training_fit,4,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.3858193457126617,0.3858193457126617,positive,4,3,4
D_FROZEN_MINILM,final_training_fit,4,389,duration_sec,engagement_or_format,auxiliary_coefficient,-0.1631223559379577,0.1631223559379577,negative,5,5,2
D_FROZEN_MINILM,final_training_fit,4,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.101590022444725,0.101590022444725,negative,6,4,3
