condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
B_RIDGE,final_training_fit,1,253,symptoms,textual,coefficient,0.5258272466092688,0.5258272466092688,positive,1,1,
B_RIDGE,final_training_fit,1,258,tasks,textual,coefficient,0.29866213476208725,0.29866213476208725,positive,2,2,
B_RIDGE,final_training_fit,1,185,music,textual,coefficient,0.28623718771983214,0.28623718771983214,positive,3,3,
B_RIDGE,final_training_fit,1,240,stimulant,textual,coefficient,0.2737521621985325,0.2737521621985325,positive,4,4,
B_RIDGE,final_training_fit,1,78,dopamine,textual,coefficient,-0.2658376793280479,0.2658376793280479,negative,5,,1
B_RIDGE,final_training_fit,1,36,brain,textual,coefficient,-0.2523019080365885,0.2523019080365885,negative,6,,2
B_RIDGE,final_training_fit,1,273,trouble,textual,coefficient,0.2442269742639781,0.2442269742639781,positive,7,5,
B_RIDGE,final_training_fit,1,186,need,textual,coefficient,-0.24048184902192943,0.24048184902192943,negative,8,,3
B_RIDGE,final_training_fit,1,118,having,textual,coefficient,0.2334635655200891,0.2334635655200891,positive,9,6,
B_RIDGE,final_training_fit,1,7,actually,textual,coefficient,-0.22322608298976993,0.22322608298976993,negative,10,,4
B_RIDGE,final_training_fit,1,133,impulsivity,textual,coefficient,0.21320104030437256,0.21320104030437256,positive,11,7,
B_RIDGE,final_training_fit,1,49,common,textual,coefficient,0.2090998389083102,0.2090998389083102,positive,12,8,
B_RIDGE,final_training_fit,1,125,higher,textual,coefficient,0.20508861223508792,0.20508861223508792,positive,13,9,
B_RIDGE,final_training_fit,1,176,medication,textual,coefficient,0.20345933567876387,0.20345933567876387,positive,14,10,
B_RIDGE,final_training_fit,1,65,diet,textual,coefficient,-0.20330722137337082,0.20330722137337082,negative,15,,5
B_RIDGE,final_training_fit,1,111,good,textual,coefficient,-0.19970470075171864,0.19970470075171864,negative,16,,6
B_RIDGE,final_training_fit,1,288,way,textual,coefficient,-0.19931184969387994,0.19931184969387994,negative,17,,7
B_RIDGE,final_training_fit,1,207,problems,textual,coefficient,0.19574570123232357,0.19574570123232357,positive,18,11,
B_RIDGE,final_training_fit,1,215,rejection,textual,coefficient,-0.18632416018571354,0.18632416018571354,negative,19,,8
B_RIDGE,final_training_fit,1,262,test,textual,coefficient,-0.1828955120551124,0.1828955120551124,negative,20,,9
B_RIDGE,final_training_fit,1,284,ve,textual,coefficient,-0.1774352374752806,0.1774352374752806,negative,21,,10
B_RIDGE,final_training_fit,1,21,anxiety,textual,coefficient,0.1648799493658208,0.1648799493658208,positive,22,12,
B_RIDGE,final_training_fit,1,132,impulsive,textual,coefficient,0.15670254582388116,0.15670254582388116,positive,23,13,
B_RIDGE,final_training_fit,1,80,easily,textual,coefficient,0.1566081566055401,0.1566081566055401,positive,24,14,
B_RIDGE,final_training_fit,1,5,activities,textual,coefficient,0.15443739402393028,0.15443739402393028,positive,25,15,
B_RIDGE,final_training_fit,1,250,sugar,textual,coefficient,-0.14953157508327308,0.14953157508327308,negative,26,,11
B_RIDGE,final_training_fit,1,263,thing,textual,coefficient,-0.14883959353932258,0.14883959353932258,negative,27,,12
B_RIDGE,final_training_fit,1,198,people,textual,coefficient,-0.14761886551625245,0.14761886551625245,negative,28,,13
B_RIDGE,final_training_fit,1,270,time,textual,coefficient,-0.1468000607501615,0.1468000607501615,negative,29,,14
B_RIDGE,final_training_fit,1,266,think,textual,coefficient,0.1456438927077319,0.1456438927077319,positive,30,16,
B_RIDGE,final_training_fit,1,117,harder,textual,coefficient,0.14418870186175595,0.14418870186175595,positive,31,17,
B_RIDGE,final_training_fit,1,135,increase,textual,coefficient,-0.1429871419497761,0.1429871419497761,negative,32,,15
B_RIDGE,final_training_fit,1,177,medications,textual,coefficient,0.14128871485148972,0.14128871485148972,positive,33,18,
B_RIDGE,final_training_fit,1,34,bit,textual,coefficient,-0.14106403100357573,0.14106403100357573,negative,34,,16
B_RIDGE,final_training_fit,1,128,hyper,textual,coefficient,-0.1404587291629814,0.1404587291629814,negative,35,,17
B_RIDGE,final_training_fit,1,76,don,textual,coefficient,-0.14023127493351653,0.14023127493351653,negative,36,,18
B_RIDGE,final_training_fit,1,134,inattentive,textual,coefficient,0.13992449509930424,0.13992449509930424,positive,37,19,
B_RIDGE,final_training_fit,1,103,foods,textual,coefficient,-0.13968990962840525,0.13968990962840525,negative,38,,19
B_RIDGE,final_training_fit,1,295,worse,textual,coefficient,-0.13903947795145266,0.13903947795145266,negative,39,,20
B_RIDGE,final_training_fit,1,69,difficulty,textual,coefficient,0.13897225637879132,0.13897225637879132,positive,40,20,
B_RIDGE,final_training_fit,1,24,attention deficit,textual,coefficient,-0.13693609677789947,0.13693609677789947,negative,41,,21
B_RIDGE,final_training_fit,1,184,motivation,textual,coefficient,-0.13641643030686698,0.13641643030686698,negative,42,,22
B_RIDGE,final_training_fit,1,146,late,textual,coefficient,-0.13594718754891472,0.13594718754891472,negative,43,,23
B_RIDGE,final_training_fit,1,66,difference,textual,coefficient,0.13592618387228642,0.13592618387228642,positive,44,21,
B_RIDGE,final_training_fit,1,287,want,textual,coefficient,-0.13549352898324368,0.13549352898324368,negative,45,,24
B_RIDGE,final_training_fit,1,110,going,textual,coefficient,-0.13289419825203028,0.13289419825203028,negative,46,,25
B_RIDGE,final_training_fit,1,84,emotions,textual,coefficient,0.13285997649710835,0.13285997649710835,positive,47,22,
B_RIDGE,final_training_fit,1,301,hedge_score,handcrafted_linguistic,coefficient,0.13178969945587696,0.13178969945587696,positive,48,23,
B_RIDGE,final_training_fit,1,276,type,textual,coefficient,-0.13170018633127856,0.13170018633127856,negative,49,,26
B_RIDGE,final_training_fit,1,278,um,textual,coefficient,0.13101446454940635,0.13101446454940635,positive,50,24,
B_RIDGE,final_training_fit,1,210,real,textual,coefficient,0.12701395299462492,0.12701395299462492,positive,51,25,
B_RIDGE,final_training_fit,1,196,patients,textual,coefficient,-0.12571331400244554,0.12571331400244554,negative,52,,27
B_RIDGE,final_training_fit,1,181,mind,textual,coefficient,-0.12567733543654622,0.12567733543654622,negative,53,,28
B_RIDGE,final_training_fit,1,232,sit,textual,coefficient,-0.12551900953784972,0.12551900953784972,negative,54,,29
B_RIDGE,final_training_fit,1,230,signs,textual,coefficient,0.1233103691357597,0.1233103691357597,positive,55,26,
B_RIDGE,final_training_fit,1,92,experience,textual,coefficient,0.12201020829264524,0.12201020829264524,positive,56,27,
B_RIDGE,final_training_fit,1,59,deficit,textual,coefficient,-0.11944213067496916,0.11944213067496916,negative,57,,30
