title,transcript,likes,comments,views,duration_sec,total_claims,false_claims,label
video,ADHD Rage Explained by Ducks Duck gets angry fast Sometimes before Duck even knows why A delay! Boom! A mistake! Explosion A sound too loud! Shatter! Plans change suddenly! Explosion! Someone ignores Duck! Crash! Favorite thing breaks! Meltdown! Then instantly calm! But shame hits hard! Duck replays it! Again and again! Why did Duck explode? Duck is not bad! Duck's brain reacts too fast! It is not Duck's fault! Not a bad Duck! Just a different Duck! ,543100,2399,4500000,35,6,4,3
video,"ADHD and spicy time in the bedroom. That is one of the biggest struggles for people with ADHD, especially guys, especially even women. And this is something that a lot of people don't talk about if you are ADHD, because guess what? Bedroom time with your partner should be loving, fun, all that stuff. Well, guess what? Our brain, at a certain point, flips this over and now it becomes a task. It's no longer spicy fun. It literally is categorized in our brain the same as emptying and taking out the trash, making a sandwich. Our brain categorizes it that way. And guess what? We lose the spiciness in the bedroom. And this is something that can damage a lot of relationships. And people don't realize this. This is one of those crumbling blocks in a relationship if you have ADHD and it is undiagnosed. Definitely speak and talk to your partner about it. Get a diagnosis. Believe me on that. Get a diagnosis. You can even click the link in the bio. Go to the ADHD online. Take the test. Find out if you have ADHD or not. Find a psychiatrist. But I will say this also is one of the things is to always constantly mix it up and to mash it up. And to always communicate with your partner on bedroom time and fantasies. That makes a huge difference for those of us with ADHD and.",3868,77,88500,59,6,3,3
video,"Why do people with ADHD lie about small things even when it doesn't make sense? It's not about being dishonest. It's about how their brain handles pressure, impulse, and time. ADHD brains are wired to prioritize immediate relief over long-term consequences. That's because of how dopamine and executive function work. When someone with ADHD feels caught, anxious, or ashamed, their underactive prefrontal cortex and overactive amygdala kick in. They might blurt out a lie not to manipulate, but to escape discomfort now. It's called short-term gain, long-term pain. But in that moment, the long-term just doesn't feel real to the ADHD brain. And working memory issues mean they may even forget what they committed to, which can look like lying, but it's really a brain glitch, not a character flaw. So if you have ADHD, hit pause. Name the emotion before you react. If you love someone with ADHD, respond with calm curiosity, not confrontation. That rewires the brain for honesty, not defense. And as always, follow for more ADHD insights that actually explain behavior, not shame it.",9400,207,655550,70,8,8,4
video,"Researchers just discovered that ADHD, autoimmune issues, chronic allergies, migraines and gut issues might stem from the same root cause. If they're right, this means that a lot of us have been treating 5 different issues when they're actually one. This could revolutionize the way ADHD is treated in the future. But as you probably know, the medical system is very rigid. So in the meantime, you're stuck with me. My name is Emilia and by the end of this video you will know the one specific thing you can do to improve all of your physical issues and your ADHD. Researchers have been studying cells called mast cells. They're immune cells that live all over your body, including in your gut and around your blood brain barrier. And these cells release histamines and inflammatory chemicals anytime they feel something is wrong. People with mast cell activation syndrome have significantly higher rates of ADHD, anxiety, gut disorders and chronic inflammation. My personal conclusion reading these new studies combined with all of the studies I've read for the past 13 years is this. ADHD brains have much higher inflammatory markers than neurotypical brains. And that chronic inflammation is what keeps activating these mast cells. Which in turn is what drives all of these symptoms, including histamine intolerance. In conclusion, this means that your ADHD and your physical symptoms are worsened or caused by mast cell activation syndrome. Which points to your body and brain being chronically inflamed. And the one solution to this problem is to permanently remove the foods that you can't tolerate that are triggering these inflammations. Because most of us are food intolerant. The worst ones being gluten and casein. Drop the neurotypical foods that are inflaming your system because these foods are not meant for you. And if you're ready to start eating for your ADHD too, you know what to do.",37200,1151,567000,129,6,6,4
video,"It takes three months to three years to fully recover from a burnout. Even longer for people with ADHD that are more at risk for burnout. Now, there are five main phases for burnout that you might want to know about. The first one is the honeymoon phase. Here, counterintuitively, you might have more motivation. You do more stuff. This usually comes when you have a new job or when you have new tasks at your job. Because it's new, it's exciting, so you want to do things. In people with ADHD, this might also manifest like you hyper-fixating or hyper-focusing on this task. And you've never been as productive as you are now because you are full of curiosity and full of interest for what you're doing. Unfortunately, this might come to an end very quickly, especially if you have ADHD. Because with ADHD, we get excited very fast, but we also get bored very fast. And when we get bored and when we get bored about repetitive tasks, we don't want to do them. So it takes a lot more energy now to do the tasks that you were doing before. It takes a lot more energy for you to be productive. And this might cause a lot of stress and a lot of guilt and a lot of shame and a lot of lack of self-worth. Then we get to the chronic stress phase. In this phase, you have just only stressful days. There's a lot of anger and there's also a lot of resentment towards your work. You might turn away tasks. You might answer badly to your boss. You might become just anxious and tense all the freaking time. And this is even worse in people with ADHD because since we have emotional dysregulation, every time that something goes wrong during those days, we just might explode with anger. This is also the phase where we usually get fired. In four, we have the apathy phase. In this phase, we just become completely apathetic about everything. You might feel just extremely tired. You don't want to do anything. Nothing interests you anymore. Even at home, you're not interested in hobbies. You're not interested in yourself. You don't care about yourself. You don't care about your job anymore. You don't care if you get fired. It's just it's a phase where you completely stop caring about everything. And in five, you have the chronic burnout. Now, just anger and apathy become part of your everyday life. You just oscillate between these two phases constantly. And you're just constantly into burnout. And it seems that you're spiraling downwards. This is also what was referred commonly before as nervous depression. A continued state of burnout can actually lead you to be in a very deep and severe depression. And it can have horrible consequences on your mental and physical health. Knowing these phases might help you address the burnout before it spirals out of control. So, especially if you're in stage five, then you would need help. Psychological or psychiatric or medical help. And don't hesitate to ask your doctor for a leave of absence for work. Because this in a lot of countries is something that you're entitled to if you're in a burnout. ",52800,989,849100,155,8,8,4
video,"ADHD behaviors you didn't know about, part 17. If you have ADHD, instead of sleeping on your hand like a boring person, you often like to curl them up and sleep on your wrists, not because it's more comfortable, but because your brain is naturally understimulated when it rests, and unique sensory input like this can help regulate your nervous system. This is also why you like to tap your fingers, crack your knuckles, or rock back and forth constantly, since the right kind of stimulation actually helps your brain calm down and even focus. What looks restless to others from the outside is your way of calming the chaos on the inside.",236500,1486,2600000,36,4,4,4
video,"Addiction isn't the same when you're ADHD. It's fundamentally, systematically, systematically, ADHD means understimulation and dopamine deficiency. Those two things are a catalyst for a difficult relationship with trying to regulate yourself. What addiction is for neurotypical people is categorically different for someone who is ADHD. Whatever provides you stimulation can become that fix, shall we say. I prefer to call it a fix because it's different to an addiction because it could become one, but I think we often find ourselves in addiction-like states. You will spend your entire life struggling with understimulation. That is categorical. So therefore, if you stop doing something that provides you that fix because you managed to cut out a habit, you're going to replace it with something else. So if it's not replaced with a positive form of stimulation, you will find yourself in a cycle of negative or destructive behaviors perpetually. I have several examples of negative patterns of behavior in my life and I've managed to stop them like that. It wasn't an addiction. It was a fix for stimulation, but as soon as I stopped it, I find myself finding another source of stimulation. So I'm going to be posting a realistic ADHD and autistic lifestyle series. Not rubbish that tells you you need to do this to make your life better, etc, etc. Real life things that you can consider to improve incrementally your experience. It's about the path. It's not about ticking boxes. It's about understanding and working with things. And the first step to progression is to learn and understand things like this about yourself. So then you can say, well, what's next?",67000,750,669100,105,7,7,4
video,"People with ADHD when you drink it actually makes you feel normal. It's why there's so many stats around if someone with ADHD with a group of people who don't have ADHD and they'll go through three drinks while the rest of everybody else is going through one. I used to drink like a lot because I was trying to be okay and trying to mask. I felt way less anxiety of trying to pick the right thing to say. So when you stop drinking and you have to evaluate who you actually are without alcohol in a situation is really, one, it's really difficult but it's very revealing.",45500,414,801600,29,2,1,3
video,"If you have ADHD, you can probably fight. Now, you may not be a violent person. You may not have any experience fighting, so you may not even know it. But a lot of people with ADHD find that they are naturally talented at various forms of combat. That includes physical combat. That includes debating, arguing. That includes ping pong. Because ADHD people tend to be good at things where pressure is high, stakes are high. There's multiple variables. It's fast-paced. We tend to also be good at combat-based things. Because it checks all of those boxes. And the stakes don't get any higher than you being about to be punched in the face. Boxing is a great example of this. They call it the sweet science because it's like physical chess. Or it's like chess where your life is at stake. There's constantly a moving target. There's constantly a shifting goal. So the stimulation is there. There's nobody that's experiencing executive dysfunction while in a boxing ring. Right? So, not that you should go find out. But, if you have ADHD, you might be naturally talented at combat-related things. The process is the goal. Good luck.",174800,5736,1200000,69,6,6,4
video,"50-70% of ADHD children are utterly rejected by close friendships by second grade. It is, in fact, one of the more devastating consequences of this disorder is this inability to make and keep close, sustained friendships with other children. And it is heartbreaking for parents to see this happening, that their child is not as liked as other children, that the sleepovers, the going to the movies, and the other social events in which other children celebrate their peer relationships are shut off for this child. Why is it there? The single best predictor of peer rejection is that symptom, the emotional impulsiveness. Friends forgive you your distractibility, your forgetfulness, your working memory problems, and even your restlessness. They will not forgive your anger, your hostility, the quickness with which you emote to other people because it is offensive. But suffice to say that it explains the road rage during driving, the job dismissals which are not the result of inattentiveness, but of being too quick to anger, too quick to express raw emotion in the workplace of which employers are not tolerant, especially if it occurs with a customer. Yet it also explains to us the marital difficulties and the parenting difficulties these children may be prone to. Because the single best predictor of marital problems in the adult with ADHD is not distractibility, it is emotion. It is emotion.",57000,789,500000,99,7,6,4
