condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
D_FROZEN_MINILM,3,3,1,likes,engagement_or_format,0.6620957255363464,0.8320461511611938,0.5508942001327952,named_auxiliary_only
D_FROZEN_MINILM,3,3,2,views,engagement_or_format,0.517723798751831,-0.5944041609764099,-0.30773718021460184,named_auxiliary_only
D_FROZEN_MINILM,3,3,3,comments,engagement_or_format,0.6192721724510193,-0.08120179921388626,-0.050286014606114815,named_auxiliary_only
D_FROZEN_MINILM,3,3,4,duration_sec,engagement_or_format,0.22983603179454803,-0.18675903975963593,-0.04292395660011494,named_auxiliary_only
D_FROZEN_MINILM,3,3,5,hedge_score,handcrafted_linguistic,0.07783824950456619,-0.24237893521785736,-0.018866352034138667,named_auxiliary_only
D_FROZEN_MINILM,3,3,6,certainty_score,handcrafted_linguistic,-0.061242252588272095,0.0659860149025917,-0.004041132191958008,named_auxiliary_only
D_FROZEN_MINILM,4,3,1,likes,engagement_or_format,1.3917120695114136,0.8320461511611938,1.1579686709615515,named_auxiliary_only
D_FROZEN_MINILM,4,3,2,views,engagement_or_format,1.2664834260940552,-0.5944041609764099,-0.7528030182779659,named_auxiliary_only
D_FROZEN_MINILM,4,3,3,hedge_score,handcrafted_linguistic,1.481282353401184,-0.24237893521785736,-0.3590316395743809,named_auxiliary_only
D_FROZEN_MINILM,4,3,4,comments,engagement_or_format,1.8359200954437256,-0.08120179921388626,-0.1490800149629603,named_auxiliary_only
D_FROZEN_MINILM,4,3,5,certainty_score,handcrafted_linguistic,-0.6736627817153931,0.0659860149025917,-0.04445232235359331,named_auxiliary_only
D_FROZEN_MINILM,4,3,6,duration_sec,engagement_or_format,-0.037400972098112106,-0.18675903975963593,0.006984969635120353,named_auxiliary_only
D_FROZEN_MINILM,7,2,1,views,engagement_or_format,2.848630428314209,1.1809507608413696,3.3640922716735417,named_auxiliary_only
D_FROZEN_MINILM,7,2,2,likes,engagement_or_format,2.5569334030151367,-0.8879086375236511,-2.270323254109883,named_auxiliary_only
D_FROZEN_MINILM,7,2,3,certainty_score,handcrafted_linguistic,0.38189801573753357,-0.5502535104751587,-0.21014072380307525,named_auxiliary_only
D_FROZEN_MINILM,7,2,4,hedge_score,handcrafted_linguistic,1.03557550907135,0.19031715393066406,0.19708778356675793,named_auxiliary_only
D_FROZEN_MINILM,7,2,5,duration_sec,engagement_or_format,0.22983603179454803,0.5251703262329102,0.1207030637976203,named_auxiliary_only
D_FROZEN_MINILM,7,2,6,comments,engagement_or_format,2.86198353767395,0.005346303340047598,0.01530103214662748,named_auxiliary_only
D_FROZEN_MINILM,16,2,1,duration_sec,engagement_or_format,2.428760290145874,0.5251703262329102,1.2755128339174462,named_auxiliary_only
D_FROZEN_MINILM,16,2,2,views,engagement_or_format,-0.6269950866699219,1.1809507608413696,-0.7404503246466447,named_auxiliary_only
D_FROZEN_MINILM,16,2,3,certainty_score,handcrafted_linguistic,1.2353968620300293,-0.5502535104751587,-0.6797814601620189,named_auxiliary_only
D_FROZEN_MINILM,16,2,4,likes,engagement_or_format,-0.10406964272260666,-0.8879086375236511,0.09240433467740283,named_auxiliary_only
D_FROZEN_MINILM,16,2,5,hedge_score,handcrafted_linguistic,-0.3070273995399475,0.19031715393066406,-0.05843258085917569,named_auxiliary_only
D_FROZEN_MINILM,16,2,6,comments,engagement_or_format,-0.26938992738723755,0.005346303340047598,-0.001440240268565568,named_auxiliary_only
D_FROZEN_MINILM,24,3,1,likes,engagement_or_format,1.5138883590698242,0.8320461511611938,1.2596249824517827,named_auxiliary_only
D_FROZEN_MINILM,24,3,2,views,engagement_or_format,1.4888333082199097,-0.5944041609764099,-0.8849687134061881,named_auxiliary_only
D_FROZEN_MINILM,24,3,3,hedge_score,handcrafted_linguistic,1.3666510581970215,-0.24237893521785736,-0.3312474283001521,named_auxiliary_only
D_FROZEN_MINILM,24,3,4,comments,engagement_or_format,1.6204991340637207,-0.08120179921388626,-0.1315874453105188,named_auxiliary_only
D_FROZEN_MINILM,24,3,5,duration_sec,engagement_or_format,0.22983603179454803,-0.18675903975963593,-0.04292395660011494,named_auxiliary_only
D_FROZEN_MINILM,24,3,6,certainty_score,handcrafted_linguistic,-0.1400429904460907,0.0659860149025917,-0.009240878854579249,named_auxiliary_only
D_FROZEN_MINILM,26,2,1,duration_sec,engagement_or_format,2.517462730407715,0.5251703262329102,1.3220967234074124,named_auxiliary_only
D_FROZEN_MINILM,26,2,2,certainty_score,handcrafted_linguistic,0.9457379579544067,-0.5502535104751587,-0.5203956313540203,named_auxiliary_only
D_FROZEN_MINILM,26,2,3,views,engagement_or_format,-0.160698801279068,1.1809507608413696,-0.1897773716368114,named_auxiliary_only
D_FROZEN_MINILM,26,2,4,hedge_score,handcrafted_linguistic,0.5999982357025146,0.19031715393066406,0.11418995658232234,named_auxiliary_only
D_FROZEN_MINILM,26,2,5,likes,engagement_or_format,-0.01903972215950489,-0.8879086375236511,0.016905533761474856,named_auxiliary_only
